item_name,item_id,item_ean,price,currency,item_brand,item_category,quantity,discount,archivo_origen,carpeta_origen,coupon,index,item_internal_id,item_list_name,item_provider,item_provider_type,item_shipping,item_sms,item_variant
bolsita-de-manzana-zanahoria-y-mango-ecologica-my-carrefour-baby-bio-100-g,458653,8431876354805,0.99,EUR,carrefour,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,23,vc4aecomm-458653,catalog,carrefour,carrefour,home_delivery|drive,458653,
leche-infantil-de-continuacion-desde-los-6-meses-en-polvo-nestle-nan-optipro-2-lata-800-g,268159,7613032875305,21.5,EUR,nan,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=144.html,bebe,,24,2003043850,catalog,carrefour,carrefour,home_delivery|drive,268159,
postre-lacteo-de-platano-desde-6-meses-nestle-yogolino-sin-gluten-y-sin-azucar-anadido-100-g,493238,7613287785886,1.3,EUR,yogolino,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=168.html,bebe,directo/sobre-producto/_2-unidad--50,1,vc4aecomm-493238,catalog,carrefour,carrefour,home_delivery|drive,493238,
preparado-lacteo-infantil-de-crecimiento-desde-1-ano-en-polvo-nestle-nativa-3-lata-800-g,809263,7613033636530,12.05,EUR,nativa,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=168.html,bebe,,2,2003044075,catalog,carrefour,carrefour,home_delivery|drive,809263,
leche-infantil-para-lactantes-en-polvo-nestle-nativa-1-lata-800-g,177223,7613032405601,11.95,EUR,nativa,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=168.html,bebe,,3,2003043835,catalog,carrefour,carrefour,home_delivery|drive,177223,
suero-fisiologico-senti2-pack-30-monodosis-de-5-ml,569761,8436538552506,3.65,EUR,senti-2,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=168.html,bebe,,4,2002916150,catalog,carrefour,carrefour,home_delivery|drive,569761,
leche-infantil-para-lactantes-en-polvo-nestle-nidina-1-lata-800-g,177032,7613032403720,14.95,EUR,nidina,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=168.html,bebe,,5,2003043834,catalog,carrefour,carrefour,home_delivery|drive,177032,
toallitas-humedas-para-bebe-ecologicas-natur-aqua-salustar-60-ud,555575,8410800068667,2.69,EUR,brevia,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=168.html,bebe,,6,vc4aecomm-555575,catalog,carrefour,carrefour,home_delivery|drive,555575,
polvos-de-talco-suave-bebe-piel-sensible-natural-hipoalergenico-johnsons-baby-200-g,307175,3574661727523,3.25,EUR,johnsons-baby,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=168.html,bebe,,7,vc4aecomm-307175,catalog,carrefour,carrefour,home_delivery|drive,307175,
papilla-infantil-desde-6-meses-8-cereales-con-miel-nestle-950-g,199271,8445290686749,6.85,EUR,nestle,cat20006-bebe,1,,bebe\view-source_https___www.carrefour.es_supermercado_bebe_cat20006_c_offset=168.html,bebe,directo/sobre-producto/_2-unidad--50,8,vc4aecomm-199271,catalog,carrefour,carrefour,home_delivery|drive,199271,
