nombre,formato,precio,precio_ud/Kg/L,marca,categoria,subcategoria
mayonesa hellmann's,Tarro 450 ml,2.95,6.555555555555555,Hellmann's,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
salsa original ligeresa,Tarro 425 ml,2.35,5.529411764705883,Ligeresa,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
salsa original ligeresa,Bote 430 ml,2.65,6.162790697674419,Ligeresa,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
mayonesa musa,Tarro 540 ml,2.45,4.537037037037037,Musa,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
salsa light hacendado,Tarro 500 ml,1.2,2.4,Hacendado,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
salsa light hacendado,Bote 490 ml,1.4,2.857142857142857,Hacendado,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
ketchup hacendado,Bote 600 g,1.15,1.9166666666666665,Hacendado,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
ketchup en sobres individuales hacendado,Paquete 12 sobres (240 g),1.4,0.11666666666666665,Hacendado,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
salsa de tomate zero sin azucares añadidos hacendado,Bote 600 g,1.6,2.666666666666667,Hacendado,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
mostaza de dijon hacendado,Tarro 200 g,1.25,6.25,Hacendado,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
mostaza clasica hacendado,Bote 388 g,1.35,3.479381443298969,Hacendado,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
allioli chovi,Tarrina 180 ml,1.45,8.055555555555555,Chovi,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
allioli hacendado,Tarrina 200 ml,1.1,5.5,Hacendado,"aceite, especias y salsas","mayonesa, ketchup y mostaza"
tomate frito hacendado,3 bricks x 400 g,1.35,0.0033750000000000004,Hacendado,"aceite, especias y salsas",otras salsas
tomate frito hacendado,3 mini bricks x 210 g,0.95,0.004523809523809524,Hacendado,"aceite, especias y salsas",otras salsas
tomate frito hacendado,Tarro 560 g,0.9,1.607142857142857,Hacendado,"aceite, especias y salsas",otras salsas
tomate frito receta artesana hacendado,Tarro 560 g,2.0,3.571428571428571,Hacendado,"aceite, especias y salsas",otras salsas
tomate frito receta artesana hacendado,Tarro 300 g,1.5,5.0,Hacendado,"aceite, especias y salsas",otras salsas
tomate frito hida,Bote 400 g,1.55,3.875,Hida,"aceite, especias y salsas",otras salsas
tomate frito estilo casero hacendado,Brick 380 g,1.2,3.1578947368421053,Hacendado,"aceite, especias y salsas",otras salsas
tomate frito hacendado con aceite de oliva,3 mini bricks x 210 g,1.4,0.006666666666666666,Hacendado,"aceite, especias y salsas",otras salsas
tomate frito sin azucares añadidos hacendado,Tarro 560 g,1.1,1.9642857142857142,Hacendado,"aceite, especias y salsas",otras salsas
salsa barbacoa hacendado,Bote 350 g,1.15,3.2857142857142856,Hacendado,"aceite, especias y salsas",otras salsas
salsa pimienta verde hacendado,Sobre 50 g,1.25,25.0,Hacendado,"aceite, especias y salsas",otras salsas
salsa burger hacendado,Bote 250 ml,1.35,5.4,Hacendado,"aceite, especias y salsas",otras salsas
salsa piri piri hacendado,Botella 195 ml,1.0,5.128205128205128,Hacendado,"aceite, especias y salsas",otras salsas
salsa curry tikka masala hacendado picante,Paquete 180 g,2.0,11.11111111111111,Hacendado,"aceite, especias y salsas",otras salsas
salsa brasa & sabor hacendado,Bote 310 ml,1.6,5.161290322580646,Hacendado,"aceite, especias y salsas",otras salsas
salsa pesto con albahaca hacendado,Tarro 190 g,1.95,10.263157894736842,Hacendado,"aceite, especias y salsas",otras salsas
salsa de tomate boloñesa hacendado,Tarro 400 g,1.9,4.749999999999999,Hacendado,"aceite, especias y salsas",otras salsas
salsa de tomate con albahaca hacendado,Tarro 400 g,1.65,4.124999999999999,Hacendado,"aceite, especias y salsas",otras salsas
salsa fresca trufa hacendado,Paquete 140 g,1.45,10.357142857142856,Hacendado,"aceite, especias y salsas",otras salsas
salsa fresca queso hacendado,Paquete 180 g,1.45,8.055555555555555,Hacendado,"aceite, especias y salsas",otras salsas
salsa fresca pesto con albahaca hacendado,Tarrina 150 g,2.0,13.333333333333334,Hacendado,"aceite, especias y salsas",otras salsas
salsa fresca setas hacendado,Tarrina 200 g,1.65,8.249999999999998,Hacendado,"aceite, especias y salsas",otras salsas
salsa fresca carbonara hacendado,200 g,1.65,8.249999999999998,Hacendado,"aceite, especias y salsas",otras salsas
salsa de soja hacendado,Botella 250 ml,1.25,5.0,Hacendado,"aceite, especias y salsas",otras salsas
salsa teriyaki hacendado,Botella 250 ml,1.65,6.6,Hacendado,"aceite, especias y salsas",otras salsas
salsa thai chili dulce j-lek,Botella 250 ml,1.55,6.2,J-Lek,"aceite, especias y salsas",otras salsas
salsa de soja sin gluten hacendado,Botella 250 ml,2.5,10.0,Hacendado,"aceite, especias y salsas",otras salsas
guacamole hacendado,Tarrina 500 g,3.95,7.9,Hacendado,"aceite, especias y salsas",otras salsas
guacamole hacendado,Tarrina 200 g,1.8,9.0,Hacendado,"aceite, especias y salsas",otras salsas
salsa yogur hacendado,Bote 310 ml,1.2,3.8709677419354835,Hacendado,"aceite, especias y salsas",otras salsas
bechamel hacendado,3 mini bricks x 200 ml,2.35,0.01175,Hacendado,"aceite, especias y salsas",otras salsas
salsa mexicana hacendado,Tarro 300 g,1.25,4.166666666666667,Hacendado,"aceite, especias y salsas",otras salsas
salsa ranch hacendado,Bote 250 ml,1.35,5.4,Hacendado,"aceite, especias y salsas",otras salsas
salsa cesar hacendado,Bote 310 ml,1.4,4.516129032258064,Hacendado,"aceite, especias y salsas",otras salsas
aliño de aceite con perejil y ajo hacendado,Tarrina 150 ml,1.75,11.666666666666668,Hacendado,"aceite, especias y salsas",otras salsas
salsa miel y mostaza hacendado,Bote 340 g,1.45,4.264705882352941,Hacendado,"aceite, especias y salsas",otras salsas
salsa de trufa,Bote 80 g,3.1,38.75,Desconocida,"aceite, especias y salsas",otras salsas
salsa gajo rustica hacendado,Bote 250 ml,1.35,5.4,Hacendado,"aceite, especias y salsas",otras salsas
salsa de queso hacendado,Tarro 280 ml,1.65,5.892857142857142,Hacendado,"aceite, especias y salsas",otras salsas
chili con carne hacendado,Bote 420 g,2.8,6.666666666666666,Hacendado,"aceite, especias y salsas",otras salsas
salsa cocktail hacendado,Bote 490 ml,1.4,2.857142857142857,Hacendado,"aceite, especias y salsas",otras salsas
carne de pimiento choricero hacendado,Tarro 140 g,1.55,11.071428571428571,Hacendado,"aceite, especias y salsas",otras salsas
pasta de sesamo tahini hacendado,Tarro 200 g,2.95,14.75,Hacendado,"aceite, especias y salsas",otras salsas
agua mineral grande bronchales,Garrafa 6 L,1.28,0.21333333333333335,Bronchales,agua y refrescos,agua
agua mineral grande bronchales,"6 botellas x 1,5 L",2.34,2.34,Bronchales,agua y refrescos,agua
agua mineral grande bronchales,"Botella 1,5 L",0.39,0.26,Bronchales,agua y refrescos,agua
agua mineral mediana bronchales,6 botellas x 1 L,3.0,3.0,Bronchales,agua y refrescos,agua
agua mineral mediana bronchales,Botella 1 L,0.5,0.5,Bronchales,agua y refrescos,agua
agua mineral pequeña bronchales,6 botellas x 500 ml,1.74,0.00348,Bronchales,agua y refrescos,agua
agua mineral pequeña bronchales,Botella 500 ml,0.29,0.58,Bronchales,agua y refrescos,agua
agua mineral pequeña bronchales tapon infantil,6 botellas x 330 ml,2.4,0.007272727272727273,Bronchales,agua y refrescos,agua
agua mineral pequeña bronchales tapon infantil,Botella 330 ml,0.4,1.2121212121212122,Bronchales,agua y refrescos,agua
agua mineral grande cortes,Garrafa 8 L,0.92,0.115,Cortes,agua y refrescos,agua
agua mineral grande cortes,Garrafa 6 L,0.79,0.13166666666666668,Cortes,agua y refrescos,agua
agua mineral grande cortes,"6 botellas x 1,5 L",1.5,1.5,Cortes,agua y refrescos,agua
agua mineral grande cortes,"Botella 1,5 L",0.25,0.16666666666666666,Cortes,agua y refrescos,agua
agua mineral mediana cortes,6 botellas x 1 L,2.4,2.4,Cortes,agua y refrescos,agua
agua mineral mediana cortes,Botella 1 L,0.4,0.4,Cortes,agua y refrescos,agua
agua mineral pequeña cortes,6 botellas x 500 ml,1.44,0.0028799999999999997,Cortes,agua y refrescos,agua
agua mineral pequeña cortes,Botella 500 ml,0.24,0.48,Cortes,agua y refrescos,agua
agua mineral pequeña cortes tapon infantil,6 botellas x 330 ml,1.56,0.0047272727272727275,Cortes,agua y refrescos,agua
agua mineral pequeña cortes tapon infantil,Botella 330 ml,0.26,0.7878787878787878,Cortes,agua y refrescos,agua
agua mineral grande bezoya,"6 botellas x 1,5 L",4.44,4.44,Bezoya,agua y refrescos,agua
agua mineral grande bezoya,"Botella 1,5 L",0.74,0.49333333333333335,Bezoya,agua y refrescos,agua
agua mineral grande nestle aquarel,"6 botellas x 1,5 L",3.72,3.72,Nestlé Aquarel,agua y refrescos,agua
agua mineral grande nestle aquarel,"Botella 1,5 L",0.62,0.41333333333333333,Nestlé Aquarel,agua y refrescos,agua
agua mineral grande font vella,"6 botellas x 1,5 L",4.32,4.32,Font Vella,agua y refrescos,agua
agua mineral grande font vella,"Botella 1,5 L",0.75,0.5,Font Vella,agua y refrescos,agua
agua mineral grande solan de cabras,"6 botellas x 1,5 L",5.52,5.52,Solán de Cabras,agua y refrescos,agua
agua mineral grande solan de cabras,"Botella 1,5 L",0.89,0.5933333333333334,Solán de Cabras,agua y refrescos,agua
agua mineral grande lanjaron,"6 botellas x 1,5 L",4.2,4.2,Lanjarón,agua y refrescos,agua
agua mineral grande lanjaron,"Botella 1,5 L",0.73,0.48666666666666664,Lanjarón,agua y refrescos,agua
agua de coco hacendado 100% natural,Brick 1 L,2.6,2.6,Hacendado,agua y refrescos,agua
agua mineral con gas grande vichy catalan,Botella 1 L,1.49,1.49,Vichy Catalan,agua y refrescos,agua
agua mineral con gas pequeña vichy catalan,6 botellas x 300 ml,5.89,0.019633333333333332,Vichy Catalan,agua y refrescos,agua
agua mineral con gas grande cortes,"6 botellas x 1,5 L",2.58,2.58,Cortes,agua y refrescos,agua
agua mineral con gas grande cortes,"Botella 1,5 L",0.43,0.2866666666666667,Cortes,agua y refrescos,agua
agua mineral con gas pequeña cortes,6 botellas x 500 ml,1.74,0.00348,Cortes,agua y refrescos,agua
agua mineral con gas pequeña cortes,Botella 500 ml,0.29,0.58,Cortes,agua y refrescos,agua
agua mineral con gas grande san pellegrino,6 botellas x 1 L,8.34,8.34,San Pellegrino,agua y refrescos,agua
agua mineral con gas grande san pellegrino,Botella 1 L,1.39,1.39,San Pellegrino,agua y refrescos,agua
agua de soda con sifon la casa,"Botella 1,5 L",1.6,1.0666666666666667,La Casa,agua y refrescos,agua
agua mineral con gas grande fonter,6 botellas x 1 L,6.84,6.84,Fonter,agua y refrescos,agua
agua mineral con gas grande fonter,Botella 1 L,1.14,1.14,Fonter,agua y refrescos,agua
gaseosa hacendado grande,"Botella 1,5 L",0.55,0.3666666666666667,Hacendado,agua y refrescos,agua
gaseosa hacendado pequeña,6 botellas x 500 ml,2.04,0.00408,Hacendado,agua y refrescos,agua
gaseosa hacendado pequeña,Botella 500 ml,0.34,0.68,Hacendado,agua y refrescos,agua
gaseosa la casera grande,"2 botellas x 1,5 L",2.45,2.45,La Casera,agua y refrescos,agua
gaseosa la casera grande,"Botella 1,5 L",1.25,0.8333333333333334,La Casera,agua y refrescos,agua
bebida isotonica limon aquarius,"Botella 1,5 L",1.99,1.3266666666666667,Aquarius,agua y refrescos,isotónico y energético
bebida isotonica limon aquarius,8 latas x 330 ml,7.12,0.021575757575757575,Aquarius,agua y refrescos,isotónico y energético
bebida isotonica limon aquarius,Lata 330 ml,0.95,2.8787878787878785,Aquarius,agua y refrescos,isotónico y energético
bebida isotonica sabor citrico iso drink,"Botella 1,5 L",1.0,0.6666666666666666,Iso drink,agua y refrescos,isotónico y energético
bebida isotonica sabor citrico iso drink,6 latas x 330 ml,2.7,0.008181818181818182,Iso drink,agua y refrescos,isotónico y energético
bebida isotonica sabor citrico iso drink,Lata 330 ml,0.45,1.3636363636363635,Iso drink,agua y refrescos,isotónico y energético
bebida isotonica naranja aquarius,"Botella 1,5 L",1.99,1.3266666666666667,Aquarius,agua y refrescos,isotónico y energético
bebida isotonica naranja aquarius,8 latas x 330 ml,7.12,0.021575757575757575,Aquarius,agua y refrescos,isotónico y energético
bebida isotonica naranja aquarius,Lata 330 ml,0.95,2.8787878787878785,Aquarius,agua y refrescos,isotónico y energético
bebida isotonica limon aquarius zero azucar,"Botella 1,5 L",1.99,1.3266666666666667,Aquarius,agua y refrescos,isotónico y energético
bebida isotonica de naranja iso drink,"Botella 1,5 L",1.0,0.6666666666666666,Iso drink,agua y refrescos,isotónico y energético
bebida isotonica de naranja iso drink,6 latas x 330 ml,2.7,0.008181818181818182,Iso drink,agua y refrescos,isotónico y energético
bebida isotonica de naranja iso drink,Lata 330 ml,0.45,1.3636363636363635,Iso drink,agua y refrescos,isotónico y energético
bebida isotonica iso on blue hacendado,"Botella 1,5 L",1.55,1.0333333333333334,Hacendado,agua y refrescos,isotónico y energético
bebida isotonica iso on blue hacendado,Botella 500 ml,0.7,1.4,Hacendado,agua y refrescos,isotónico y energético
bebida isotonica sabor citrico iso drink zero,"Botella 1,5 L",1.0,0.6666666666666666,Iso drink,agua y refrescos,isotónico y energético
bebida energetica energy drink zero hacendado,6 latas x 250 ml,2.4,0.0096,Hacendado,agua y refrescos,isotónico y energético
bebida energetica zero hacendado,Lata 250 ml,0.4,1.6,Hacendado,agua y refrescos,isotónico y energético
bebida energetica energy ultra zero monster,4 latas x 500 ml,6.68,0.013359999999999999,Monster,agua y refrescos,isotónico y energético
bebida energetica energy ultra zero monster,Lata 500 ml,1.79,3.58,Monster,agua y refrescos,isotónico y energético
bebida energetica energy monster,4 latas x 500 ml,6.68,0.013359999999999999,Monster,agua y refrescos,isotónico y energético
bebida energetica energy monster,Lata 500 ml,1.79,3.58,Monster,agua y refrescos,isotónico y energético
bebida energetica energy drink hacendado,"Botella 1,5 L",1.6,1.0666666666666667,Hacendado,agua y refrescos,isotónico y energético
bebida energetica energy drink hacendado,6 latas x 250 ml,2.4,0.0096,Hacendado,agua y refrescos,isotónico y energético
bebida energetica energy drink hacendado,Lata 250 ml,0.4,1.6,Hacendado,agua y refrescos,isotónico y energético
bebida energetica red bull,6 latas x 250 ml,7.92,0.03168,Red Bull,agua y refrescos,isotónico y energético
