nombre,formato,precio,precio_ud/Kg/L,marca,categoria
tarrito de verduritas con pollo desde 6 meses hero baby buenas noches sin gluten pack de 2 unidades 190 g,pack de 2 unidades,2.95,1.475,hero,bebe
papilla infantil desde 6 meses 8 cereales con galleta maria nestle sin azucar anadido 950 g,950 g,6.85,7.2105263157894735,nestle,bebe
tarrito de pollo con arroz desde 6 meses ecologico smileat sin gluten 230 g,230 g,2.59,11.26086956521739,smileat,bebe
bolsita de manzana zanahoria y mango ecologica my carrefour baby bio 100 g,100 g,0.99,9.899999999999999,carrefour,bebe
leche infantil de continuacion desde los 6 meses en polvo nestle nan optipro 2 lata 800 g,lata 800 g,21.5,26.875,Desconocida,bebe
postre lacteo de platano desde 6 meses nestle yogolino sin gluten y sin azucar anadido 100 g,100 g,1.3,13.0,yogolino,bebe
preparado lacteo infantil de crecimiento desde 1 ano en polvo nestle nativa 3 lata 800 g,lata 800 g,12.05,15.0625,nativa,bebe
leche infantil para lactantes en polvo nestle nativa 1 lata 800 g,lata 800 g,11.95,14.937499999999998,nativa,bebe
suero fisiologico senti2 pack 30 monodosis de 5 ml,5 ml,3.65,730.0,senti 2,bebe
leche infantil para lactantes en polvo nestle nidina 1 lata 800 g,lata 800 g,14.95,18.687499999999996,nidina,bebe
toallitas humedas para bebe ecologicas natur aqua salustar 60 ud,60 ud,2.69,0.04483333333333333,brevia,bebe
polvos de talco suave bebe piel sensible natural hipoalergenico johnsons baby 200 g,200 g,3.25,16.25,johnsons baby,bebe
papilla infantil desde 6 meses 8 cereales con miel nestle 950 g,950 g,6.85,7.2105263157894735,nestle,bebe
snack infantil tubitos de zanahoria y maiz desde 8 meses ecologico danone bledina sin gluten y sin azucar anadido 20 g,20 g,1.25,62.5,bledina,bebe
postre lacteo natural desde 6 meses nestle yogolino sin gluten y sin azucar anadido pack de 4 unidades de 100 g,pack de 4 unidades de 100 g,3.19,7.975,yogolino,bebe
postre lacteo mango desde 6 meses nestle yogolino sin gluten y sin azucar anadido pack de 4 unidades de 100 g,pack de 4 unidades de 100 g,3.19,7.975,nestle,bebe
toallitas sensitive carrefour 3x72 uds,3x72 ud,6.85,0.09513888888888888,carrefour baby,bebe
leche infantil para lactantes en polvo nestle nan supreme pro 1 lata 800 g,lata 800 g,28.5,35.625,Desconocida,bebe
tarrito guiso verduras con merluza y pasta desde 10 meses hero solo pack de 2 unidades de 235 g,pack de 2 unidades de 235 g,4.09,8.702127659574469,hero,bebe
tarrito de bacalao con patatas y verduras desde 6 meses ecologico smileat  230 g,230 g,2.95,12.82608695652174,smileat,bebe
papilla infantil desde 6 meses liquida nestle pijama pack de 2 unidades de 250 ml,pack de 2 unidades de 250 ml,2.65,5.3,nestle,bebe
preparado de manzana sin azucar anadido desde 6 meses ecologico my carrefour baby sin gluten pack de 4 bolsitas de 100 g,pack de 4 bolsitas de 100 g,2.55,25.499999999999996,carrefour bio,bebe
colonia original denenes 600 ml,600 ml,4.25,7.083333333333334,denenes,bebe
tarrito de verduras con lubina desde 8 meses ecologico carrefour baby bio sin gluten pack de 2 unidades de 200 g,pack de 2 unidades de 200 g,3.69,9.225,carrefour bio,bebe
tarrito cocidito con ternera y jamon desde 6 meses ecologico smileat sin gluten 230 g,230 g,2.95,12.82608695652174,smileat,bebe
bastoncillos johnsons baby 100 ud,100 ud,2.39,0.0239,johnsons baby,bebe
champu gotas de brillo para cabellos mas brillantes suaves y sedosos johnsons baby 500 ml,500 ml,4.65,9.3,johnsons,bebe
protector absorbente carrefour baby10 ud,10 ud,4.15,0.41500000000000004,carrefour baby,bebe
gel champu original denenes 600 ml,600 ml,4.29,7.15,denenes,bebe
tarrito de cocido de ternera desde 8 meses hero baby sin gluten pack de 2 unidades 190 g,pack de 2 unidades,2.95,1.475,hero,bebe
tarrito de guisantes tiernos con jamon desde 6 meses hero baby buenas noches sin gluten pack de 2 unidades de 190 g,pack de 2 unidades de 190 g,2.95,7.7631578947368425,hero,bebe
preparado lacteo infantil de crecimiento desde 12 meses en polvo nestle nidina 3 lata 800 g,lata 800 g,17.49,21.862499999999997,nidina,bebe
pants dodot activity t4 9 15 kg 43 ud,15 kg,29.4,1.96,dodot activity extra,bebe
tarrito de calabaza patata guisante y brocoli desde 6 meses  ecologico hero solo sin gluten 190 g,190 g,2.69,14.157894736842104,hero solo,bebe
tarrito de manzana y platano ecologico carrefour baby bio desde 6 meses pack de 2 unidades de 200 g,pack de 2 unidades de 200 g,2.85,7.125,carrefour bio,bebe
tarrito de verduritas con pollo desde 6 meses hero solo buenas noches sin gluten pack de 6 unidades 190 g,pack de 6 unidades,9.19,1.5316666666666665,hero,bebe
panales carrefour baby ultra dry talla 6 xl  16 kg 120 ud,16 kg,31.6,1.975,carrefour baby,bebe
