nombre,formato,precio,precio_ud/Kg/L,marca,categoria
"cerveza artesana rubia lata 0,33 l","lata 0,33 l",0.95,2.88,18/70 RUBIA,bebidas
"cerveza red vintage botella cristal pack-6 6 x 0,33 l",6 x 0,8.25,4.17,1906,bebidas
"cerveza reserva botella cristal pack-6 6 x 0,33 l",6 x 0,6.49,3.28,1906,bebidas
"cerveza reserva lata 0,33 l","lata 0,33 l",1.09,3.3,1906,bebidas
"carajillo de ron 0,7 l","0,7 l",7.99,11.41,3 COLORES,bebidas
"ginebra premium 0,7 l","0,7 l",11.5,16.43,38,bebidas
"ginebra pure dry 0,7 l","0,7 l",6.25,8.93,38,bebidas
"licor de crema chocolate y tequila 0,7 l","0,7 l",7.49,10.7,38,bebidas
"licor de crema coco y tequila 0,7 l","0,7 l",7.49,10.7,38,bebidas
"licor de crema mango y tequila 0,7 l","0,7 l",7.49,10.7,38,bebidas
"tequila blanco 0,7 l","0,7 l",9.49,13.56,38,bebidas
"tequila reposado 0,7 l","0,7 l",10.5,15.0,38,bebidas
"vino tinto 14 meses d.o. ribera del duero 0,75 l","0,75 l",7.99,10.66,409,bebidas
"licor 43 0,7 l","0,7 l",14.99,21.41,43,bebidas
"cachaza 0,7 l","0,7 l",15.25,21.79,51,bebidas
"licor crema de arroz 0,7 l","0,7 l",10.5,15.0,5FANECADES,bebidas
"licor crema de arroz con cazalla 0,7 l","0,7 l",10.5,15.0,5FANECADES,bebidas
"ginebra valenciana 0,7 l","0,7 l",13.9,19.86,69 BROSSES,bebidas
"vino blanco d.o. ribeiro 0,75 l","0,75 l",9.99,13.32,7 CUPOS,bebidas
"vino blanco vino de la tierra de cadiz 0,75 l","0,75 l",4.5,6.0,A.BARBADILLO,bebidas
"vino blanco verdejo tierra de castilla 0,75 l","0,75 l",2.2,2.93,A.MERCIER,bebidas
"vino rosado palido tierra de castilla 0,75 l","0,75 l",2.69,3.59,A.MERCIER,bebidas
"vino tinto tierra de castilla 0,75 l","0,75 l",2.2,2.93,A.MERCIER,bebidas
