codigo_producto,marca,nombre,categoria,precio_actual,precio_anterior,precio_por_unidad,promocion,patrocinado,imagen_url,producto_url,fecha_extraccion
7461481,,,Horno,"1,19 €",,"5,17 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461481_001.jpg?t=20250619091501,https://tienda.consum.es/es/p/pan-de-rosca/7461481,2025-10-18 10:53:45
7461853,,,Horno,"2,15 €",,"7,96 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7461853_001.jpg?t=20250702091503,https://tienda.consum.es/es/p/bizcocho-con-harina-integral-y-canela/7461853,2025-10-18 10:53:45
7463011,,,Horno,"11,99 €",,"11,99 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7463011_001.jpg?t=20250724091501,https://tienda.consum.es/es/p/tarta-de-dibujos/7463011,2025-10-18 10:53:45
7463024,,,Horno,"7,99 €",,"19,98 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7463024_001.jpg?t=20250724091501,https://tienda.consum.es/es/p/banda-de-mango/7463024,2025-10-18 10:53:45
7463651,,,Horno,"1,38 €",,"9,86 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7463651_001.jpg?t=20250827130002,https://tienda.consum.es/es/p/mini-croissant-margarina-6-unidades/7463651,2025-10-18 10:53:45
7463862,,,Horno,"1,10 €",,"3,93 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7463862_001.jpg?t=20250801091501,https://tienda.consum.es/es/p/panecillos-de-ajo-y-perejil-4-unidades/7463862,2025-10-18 10:53:45
7464696,,,Horno,"1,19 €",,"7,93 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7464696_001.jpg?t=20250801091501,https://tienda.consum.es/es/p/medias-noches-con-mantequilla/7464696,2025-10-18 10:53:51
7463859,,,Horno,"0,99 €",,"4,30 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7463859_001.jpg?t=20250820170002,https://tienda.consum.es/es/p/pan-de-agua-integral-trigo-60/7463859,2025-10-18 10:53:51
7463867,,,Horno,"7,49 €",,"21,40 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7463867_001.jpg?t=20250814170001,https://tienda.consum.es/es/p/tarta-cookies-cheesecake/7463867,2025-10-18 10:53:51
7463557,,,Horno,"0,75 €",,"8,82 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7463557_001.jpg?t=20250821130002,https://tienda.consum.es/es/p/palmera-croissant/7463557,2025-10-18 10:53:51
7463854,,,Horno,"1,19 €",,"5,53 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7463854_001.jpg?t=20250820170002,https://tienda.consum.es/es/p/pan-de-cristal/7463854,2025-10-18 10:53:51
7465078,,,Horno,"1,15 €",,"11,50 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7465078_001.jpg?t=20250906130002,https://tienda.consum.es/es/p/empanadilla-integral-17-de-tomate-y-verdura/7465078,2025-10-18 10:53:51
7465797,,,Horno,"2,39 €",,"18,38 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7465797_001.jpg?t=20250910091501,https://tienda.consum.es/es/p/dots-dubai/7465797,2025-10-18 10:53:51
7465925,,,Horno,"1,79 €",,"3,58 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/noimage.png,https://tienda.consum.es/es/p/hogaza-100-integral/7465925,2025-10-18 10:53:51
7466170,,,Horno,"2,99 €",,"16,61 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/noimage.png,https://tienda.consum.es/es/p/milrayas-de-crema-de-cacao/7466170,2025-10-18 10:53:51
7466394,,,Horno,"1,19 €",,"16,53 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7466394_001.jpg?t=20251002091503,https://tienda.consum.es/es/p/cookie-chocolate-con-leche/7466394,2025-10-18 10:53:51
7465800,,,Horno,"1,49 €",,"9,93 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7465800_001.jpg?t=20250925130003,https://tienda.consum.es/es/p/palmera-tierna-de-cacao/7465800,2025-10-18 10:53:51
7394427,BABY CREAM,Toallita Higiénica Bebé Biodegradable 60 U,Infantil,"1,45 €","1,65 €","0,03 €/1 U",Ahora más barato,No,https://cdn-consum.aktiosdigitalservices.com/assets/promotion/es/oferta-inmediato.png,https://tienda.consum.es/es/p/toallita-higienica-bebe-biodegradable/7394427,2025-10-18 10:58:44
7370492,BE PLUS,Frutas con Cereales Tarrito 2 x 200 Gr,Infantil,"1,99 €",,"4,98 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7370492_001.jpg?t=20220423040005,https://tienda.consum.es/es/p/frutas-con-cereales-tarrito/7370492,2025-10-18 10:59:25
7370497,BE PLUS,Frutas con Galleta Pouch 120 Gr,Infantil,"0,99 €",,"8,25 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7370497_001.jpg?t=20210205083002,https://tienda.consum.es/es/p/frutas-con-galleta-pouch/7370497,2025-10-18 10:59:25
7370500,BE PLUS,Natilla con Galleta Tarrito 2 x 100 Gr,Infantil,"1,89 €",,"9,45 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7370500_001.jpg?t=20201222083002,https://tienda.consum.es/es/p/natilla-con-galleta-tarrito/7370500,2025-10-18 10:59:25
7374833,BE PLUS,Pouch Fresa y Plátano 120 Gr,Infantil,"0,99 €",,"8,25 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7374833_001.jpg?t=20210418040002,https://tienda.consum.es/es/p/pouch-fresa-y-platano/7374833,2025-10-18 10:59:25
7438612,BE PLUS,Pouch Manzana y Plátano 120 Gr,Infantil,"0,99 €",,"8,25 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7438612_001.jpg?t=20241112091504,https://tienda.consum.es/es/p/pouch-manzana-y-platano/7438612,2025-10-18 10:59:45
7349426,BE PLUS,Pouche Bío Pera Manzana Albaricoque 100 Gr,Infantil,"1,09 €",,"10,90 €/1 Kg",,No,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7349426_001.jpg?t=20201004083004,https://tienda.consum.es/es/p/pouche-bio-pera-manzana-albaricoque/7349426,2025-10-18 10:59:18
